episode,total_reward
0,-110.92709352076054
1,-99.38010117411612
2,-101.15105105191468
3,-95.07102816551924
4,-119.035916313529
5,-94.78433636575936
6,-175.010018363595
7,-194.5994223207236
8,-100.60529571026564
9,-36.26105595380068
10,-71.95505336672068
11,-33.42311867326498
12,-64.06850492954254
13,-44.03297848254442
14,-37.82861938327551
15,-35.82353757694364
16,-125.42814181372523
17,-68.57030612230301
18,-56.84728530049324
19,-53.33541571162641
20,-168.46835254505277
21,-175.21724139526486
22,-95.82001173496246
23,-43.91407169681042
24,-42.36396877653897
25,-76.37026463076472
26,73.63843345211353
27,74.75674284854904
28,-56.10187531076372
29,77.9064145104494
30,76.27163475035923
31,67.34598814201308
32,78.41574153094552
33,72.37914101275965
34,53.77334836852242
35,84.76407308219495
36,86.23426900475533
37,45.45453401320265
38,66.8642228069366
39,70.55236038879957
40,88.38726655294886
41,65.94345412880648
42,86.21533305203775
43,83.32043050526408
44,58.83849374298006
45,59.88318555412116
46,66.8857060506707
47,86.73516376669431
48,51.54160440225678
49,81.22991318861023
50,70.19925901142415
51,60.060815349104814
52,71.82599708779162
53,69.56963755263132
54,71.32781551315566
55,87.0906229771208
56,66.39120861221454
57,70.8443741715746
58,54.43300342664588
59,68.93172967553255
60,73.0682658017613
61,70.30158958927495
62,63.04426218252047
63,70.30719880954712
64,54.941691401269054
65,70.84186428118846
66,66.66562368147424
67,89.32276833325159
68,84.26944013193133
69,69.65798632413498
70,70.85001489505521
71,70.42072564662521
72,87.17018292314606
73,61.98656646060408
74,71.90069760740153
75,58.57491831306834
76,84.44664877903415
77,72.66987533480278
78,72.59157877531834
79,60.79183015305898
80,65.95247283842764
81,68.90534719312564
82,93.29801009502262
83,67.08474854085944
84,69.74328036778024
85,91.70250496512745
86,93.08324768580496
87,66.90843494949513
88,93.01536456448956
89,92.71741481714707
90,65.39965123322327
91,83.39740157169581
92,65.29062659371994
93,70.37258029342047
94,88.86143483006163
95,67.20243393149576
96,46.416731892939424
97,66.23022121269605
98,47.72427980042994
99,80.45186582420138
100,93.36601854118636
101,68.54213108480326
102,67.22136500151828
103,92.98822959167592
104,68.04533360045752
105,67.39038084103959
106,74.66654854160151
107,68.00921704858774
108,67.28035855930648
109,93.09357231548438
110,60.55168489817879
111,69.01897212010226
112,90.12420588253735
113,57.682869967859006
114,88.76767124189064
115,68.90435691163293
116,67.88615696676425
117,80.05795377505274
118,59.92603087131283
119,93.38911544875008
120,58.596475747268414
121,74.09200355090434
122,58.85364382140688
123,91.15634000953288
124,70.09358683147002
125,58.24644299675128
126,64.18133235428832
127,64.14636536579928
128,69.76642353538773
129,80.16685086401412
130,68.29375909719965
131,80.02129909492214
132,68.26159726813785
133,64.60562629983178
134,67.66271554198465
135,65.21446498375735
136,68.8141113378515
137,68.50543045144877
138,92.53378069186874
139,92.83272050844973
140,61.82023305151961
141,93.00323362508789
142,69.75564562421641
143,60.922908565815305
144,88.00481149647385
145,64.8751963126706
146,58.43017547842464
147,56.32856277734391
148,65.88576174419723
149,66.51959350131801
150,66.04106342498562
151,92.2491913039412
152,64.05869016502402
153,89.66641802951926
154,67.21846620817087
155,88.88881543523166
156,65.65360780138872
157,68.08337782401941
158,70.00883767646155
159,68.97302599143586
160,67.83228431720636
161,68.36512578077964
162,70.49386961464188
163,93.04104438883952
164,69.65526794907055
165,88.36252764647725
166,67.05285523302155
167,89.2532871827425
168,66.0840820147132
169,90.67112871282734
170,66.94299373481772
171,70.64270957265398
172,56.20237853057915
173,69.9393508330395
174,90.1336418070132
175,65.32142238024971
176,61.51470023192815
177,60.97170767546049
178,68.11289879464312
179,69.32026413957283
180,70.88001220102888
181,67.23730616401008
182,61.98782564964495
183,92.18537660215225
184,70.32927593853674
185,67.85013359770528
186,90.202414755644
187,68.00590161432046
188,57.20753354098997
189,65.82924020080827
190,68.66550235715113
191,86.06302859029529
192,68.92177616324625
193,67.84849634338752
194,69.35741597026936
195,61.5491911083227
196,59.079076872061705
197,68.54254617198603
198,66.5103872482141
199,90.356194633001
200,64.76262940544984
201,63.95769493235275
202,65.90943604972563
203,69.868612363789
204,62.13024994067382
205,70.93128620734205
206,93.26171377464198
207,79.49337336811004
208,69.13694451142692
209,69.31584614221356
210,68.93371978903451
211,68.73519951183698
212,57.5064346146246
213,68.29949815370492
214,67.27916753743193
