episode,exploration
0,1.0
1,0.9950248756218908
2,0.990074503106359
3,0.98514875930981
4,0.9802475217013036
5,0.9753706683595064
6,0.970518077969658
7,0.9656896298205554
8,0.9608852038015476
9,0.95610468039955
10,0.95134794069607
11,0.9466148663642489
12,0.9419053396659192
13,0.937219243448676
14,0.9325564611429612
15,0.9279168767591656
16,0.923300374884742
17,0.9187068406813352
18,0.914136159881926
19,0.909588218787986
20,0.9050629042666528
21,0.9005601037479133
22,0.8960797052218044
23,0.8916215972356263
24,0.8871856688911706
25,0.8827718098419609
26,0.8783799102905084
27,0.8740098609855806
28,0.8696615532194834
29,0.8653348788253566
30,0.8610297301744844
31,0.8567460001736164
32,0.8524835822623049
33,0.8482423704102537
34,0.8440222591146804
35,0.839823143397692
36,0.8356449188036738
37,0.8314874813966904
38,0.827350727757901
39,0.8232345549829861
40,0.8191388606795883
41,0.8150635429647646
42,0.8110085004624524
43,0.8069736323009478
44,0.8029588381103959
45,0.7989640180202945
46,0.7949890726570096
47,0.7910339031413032
48,0.7870984110858739
49,0.7831824985929094
50,0.7792860682516513
51,0.7754090231359715
52,0.7715512668019617
53,0.7677127032855341
54,0.763893237100034
55,0.7600927732338647
56,0.7563112171481242
57,0.752548474774253
58,0.7488044525116946
59,0.7450790572255668
60,0.7413721962443451
61,0.7376837773575574
62,0.73401370881349
63,0.7303618993169055
64,0.7267282580267718
65,0.7231126945540018
66,0.719515118959206
67,0.7159354417504538
68,0.7123735738810486
69,0.7088294267473121
70,0.7053029121863803
71,0.7017939424740103
72,0.6983024303223984
73,0.6948282888780084
74,0.6913714317194114
75,0.6879317728551358
76,0.6845092267215283
77,0.6811037081806252
78,0.6777151325180351
79,0.674343415440831
80,0.6709884730754538
81,0.6676502219656257
82,0.6643285790702744
83,0.6610234617614672
84,0.6577347878223555
85,0.6544624754451299
86,0.651206443228985
87,0.6479666101780946
88,0.6447428956995968
89,0.6415352196015889
90,0.6383435020911333
91,0.6351676637722721
92,0.6320076256440519
93,0.6288633090985591
94,0.6257346359189644
95,0.6226215282775766
96,0.6195239087339071
97,0.6164417002327434
98,0.6133748261022323
99,0.6103232100519724
100,0.6072867761711169
101,0.6042654489264846
102,0.6012591531606812
103,0.5982678140902301
104,0.5952913573037116
105,0.5923297087599121
106,0.5893827947859822
107,0.5864505420756042
108,0.5835328776871684
109,0.5806297290419588
110,0.577741023922347
111,0.5748666904699972
112,0.5720066571840768
113,0.5691608529194795
114,0.5663292068850543
115,0.5635116486418451
116,0.5607081081013385
117,0.55791851552372
118,0.5551428015161394
119,0.5523808970309845
120,0.5496327333641637
121,0.5468982421533968
122,0.5441773553765142
123,0.5414700053497654
124,0.5387761247261348
125,0.5360956464936665
126,0.5334285039737976
127,0.5307746308196991
128,0.5281339610146261
129,0.5255064288702748
130,0.5228919690251491
131,0.5202905164429344
132,0.5177020064108802
133,0.5151263745381892
134,0.5125635567544172
135,0.5100134893078779
136,0.5074761087640577
137,0.5049513520040375
138,0.5024391562229229
139,0.4999394589282815
140,0.4974521979385887
141,0.4949773113816803
142,0.4925147376932143
143,0.4900644156151386
144,0.4876262841941678
145,0.4852002827802666
146,0.4827863510251409
147,0.4803844288807373
148,0.4779944565977486
149,0.475616374724128
150,0.47325012410361
151,0.4708956458742389
152,0.4685528814669044
153,0.466221772603885
154,0.4639022612973981
155,0.4615942898481573
156,0.4592978008439377
157,0.457012737158147
158,0.4547390419484051
159,0.4524766586551295
160,0.4502255310001289
161,0.4479856029852029
162,0.4457568188907492
163,0.4435391232743774
164,0.4413324609695297
165,0.4391367770841092
166,0.4369520169991137
167,0.4347781263672774
168,0.4326150511117189
169,0.4304627374245959
170,0.4283211317657671
171,0.4261901808614599
172,0.4240698317029452
173,0.4219600315452191
174,0.4198607279056907
175,0.4177718685628764
176,0.4156934015551009
177,0.4136252751792049
178,0.4115674379892587
179,0.4095198387952823
180,0.4074824266619725
181,0.4054551509074354
182,0.4034379611019258
183,0.4014308070665929
184,0.3994336388722317
185,0.3974464068380416
186,0.3954690615303897
187,0.3935015537615818
188,0.3915438345886387
189,0.3895958553120783
