episode,absolute error
280,22280.05666801584
281,20946.330681690582
282,21514.911462998625
283,24262.515579748502
284,23984.81957248508
285,7697.372466820124
286,23607.700248100296
287,20784.595683045
288,22058.043125690965
289,23073.90922673617
290,21620.099498166088
291,23841.99549651844
292,35761.36545101642
293,22279.06977406675
294,22334.91992069621
295,25532.06870171077
296,17253.46101963389
297,31375.037397561613
298,26093.142389687368
299,23409.74259027114
300,24049.64884349608
301,26192.294453720453
302,20768.524253278167
303,22201.82768233391
304,24545.95145914645
305,28984.39118789208
306,25518.910437369213
307,22077.728587310507
308,23963.324624485653
309,21178.976977288137
310,17370.706808852345
311,28136.362450036217
312,22218.584613633888
313,25028.64357741845
314,28659.068049805453
315,29809.36278119672
316,22715.71387179468
317,22245.04816868339
318,24835.741537402544
319,24588.51441026009
320,31795.295224359823
321,25171.38974389651
322,27292.38919786197
323,25910.17495931835
324,22210.00058516841
325,14814.576041716828
326,26225.633368944844
327,24861.8313112202
328,24607.82010417656
329,23183.911966646385
330,24327.670094257337
331,18922.36461102668
332,21458.965555024224
333,18394.425777927703
334,17916.373857200273
335,22619.94207315672
336,21313.475044295268
337,17790.058661473344
338,33146.24922135209
339,17649.328772792564
340,23220.998326507222
341,18613.84091794008
342,16245.21638440965
343,23436.1403957822
344,17575.109238029498
345,16841.871481649476
346,17973.70930874826
347,48745.971182459456
348,28169.579120145903
349,21547.093574023544
350,9053.17829079022
351,23333.259600151898
352,30350.457899692083
353,20971.514088638545
354,18009.375667993238
355,12812.980937928956
356,10929.68319336836
357,20275.92955010625
358,44154.73303955522
359,10800.204643862806
360,17465.4876712017
361,18020.10443843736
362,7340.422767224333
363,17828.19200978183
364,18413.326400910653
365,24341.569936157463
366,21978.39376832366
367,18043.557630826697
368,18914.475013069783
369,15512.002949590958
370,16498.382603612346
371,19528.73612576608
372,18222.412662320217
373,15239.095108973012
374,16623.984624965873
375,9375.679735640004
376,17459.173665864444
377,16016.266820439583
378,18075.30062967032
379,17372.9992493421
380,16387.90141958123
381,18468.11491048931
382,18432.541685521915
383,17631.85247756012
384,17504.66444542305
385,17285.014648399974
386,16777.647827861972
387,15257.743196256297
388,10117.176275714064
389,17396.495184770112
390,18268.862323983827
391,16020.77576198469
392,17303.60017193973
393,13568.720708466975
394,16119.847413525662
395,21100.68175027195
396,16082.928540227376
397,19251.959926984084
398,13096.17583259332
399,18706.13645452953
400,21791.585163010743
401,16056.337852004945
402,13103.264294880946
403,13529.901127194842
404,13504.402275511582
405,16756.045265256656
406,17221.543164193954
407,13858.715474319091
408,13275.77387157046
409,13425.859687251716
410,8777.124960002324
411,12519.010227027666
412,13310.259664314968
413,13358.612167330904
414,13271.60888605418
415,11785.477722670614
416,13756.949674674766
417,9988.2912999663
418,9763.761304826952
419,11175.86247540132
420,13178.433815222015
421,8293.645165328031
422,41156.27448879388
423,13633.075709863986
424,12290.188794054731
425,11526.884727635084
426,9543.684746134702
427,11807.52622910133
428,11920.650661304937
429,12086.086931972572
430,9811.60258017064
431,11681.460374735092
432,10233.326715734616
433,9762.104467648696
434,13146.853279258808
435,9343.744256019138
436,9789.494608741976
437,9640.662265945655
438,18628.09451357541
439,17026.840154671227
440,10311.989586390844
441,7881.530141533481
442,8125.569699549477
443,8879.167186876268
444,11760.72678126658
445,8686.144052426323
446,10768.43574863548
447,7070.625868009662
448,15100.747957577389
449,5732.817934052351
450,12549.750770304474
451,12757.121493890145
452,7797.202506658597
453,8975.22092411417
454,5263.656591544769
455,32890.75828977296
456,11827.625858118185
457,21277.115453161485
458,7836.257047280559
459,15567.509002768578
460,12974.820323480317
461,8074.062448555087
462,13800.729021570069
463,14056.018471009196
464,13526.746813745547
465,21222.76696905143
466,11086.041801742873
467,8476.527401434212
468,19999.74023096116
469,8803.298399149095
470,13027.59413555442
471,7901.140248057756
472,8004.261149382874
473,8690.227285319508
474,9083.744587326144
475,13280.479734134302
476,9963.58869025666
477,16725.111338017814
478,19898.248290694188
479,8205.256883539287
480,17967.667389403614
481,13166.065578582957
482,13930.652430978458
483,13221.651289370076
484,10628.665681098022
485,15795.910495170549
486,7178.654548453382
487,11274.21332174348
488,20189.92685251275
489,13260.3076528892
490,15768.087759618698
491,11474.951582164427
492,10952.539672071089
493,12312.322475167965
494,15501.721880699892
495,17506.343284945964
496,9969.590934519098
497,8632.769766734795
498,12329.29394914514
499,12446.915249155278
500,13307.391326927696
501,17452.067350091922
502,11979.249030095436
503,9916.776354703425
504,12740.32356800332
505,9069.771929821542
506,9790.574559869365
507,14226.89360644271
508,10085.513451119365
509,9628.688472682436
510,14329.592141392764
511,10854.343501989626
512,12485.475815328622
513,8476.920030484123
514,11822.140150217025
515,8633.502928028518
516,11741.775490952652
517,17814.031919665435
518,10850.19837859673
519,9435.0863123225
520,13079.013345067788
521,8787.95606514457
522,9798.739426335304
523,11625.932661822624
524,6509.447324582005
525,10739.36405433872
526,61595.43806781787
527,8674.73410798611
528,13700.344280568754
529,10573.85365096056
530,15779.43139849421
531,14303.14464097024
532,9039.669433037005
533,8921.717868760577
534,14741.128050168618
535,10259.955644402971
536,18898.752809653888
537,10136.909489086183
538,10397.952728513645
539,9466.380402324832
540,9262.093886743887
541,7757.594993883807
542,11241.652326459658
543,15222.920443958128
544,11402.803048164746
545,12056.73526684413
546,10585.97301817936
547,11678.533631580493
548,12793.88230761132
549,9139.362032265924
550,16163.180307813527
551,17807.439313360705
552,8302.414570316758
553,11513.519981532429
554,14276.299403909692
555,11681.21781614982
556,11556.07394550324
557,10078.72231961588
558,11517.95757578752
559,6679.937304876121
560,10796.949156430914
561,10296.42330284359
562,11137.10265166587
563,6323.43720097464
564,10885.979091094954
565,6866.939525326823
566,13937.930248745572
567,8298.504069492894
568,17577.191589338618
569,23213.21498861253
570,12712.214238914528
571,9139.296270821898
572,7517.411769495182
573,12511.44526362902
574,7778.270673355692
575,9293.639702416904
576,32011.070097818727
577,16820.950588603566
578,8140.418794835375
579,9077.765692775069
580,8963.817838201483
581,9905.846197192766
