episode,total_reward
0,-87.95518495887518
1,-138.94834403134882
2,-321.90809708833694
3,-185.01128098368645
4,-122.45576216094196
5,-123.50950052589178
6,-83.42100005596876
7,-167.2267838716507
8,-407.4765535960905
9,-82.60655326396227
10,-613.8300657123327
11,-307.1289170458913
12,-231.76233674678952
13,-166.69138596579432
14,-202.8711417876184
15,-219.46532173082232
16,-247.33564800955355
17,-64.7913438975811
18,-214.93419942259789
19,-138.56798546761274
20,-99.3980111098499
21,-95.3640692718327
22,-380.639631729573
23,-171.1563124805689
24,-96.13290464878082
25,-134.38262160867453
26,-66.98909839149565
27,-240.1045070812106
28,-208.4807281307876
29,-148.77215325064026
30,-80.78444142639637
31,-153.09956626594067
32,-113.25269806105644
33,-71.62422452121973
34,-246.5691154766828
35,-9.383165195584295
36,-258.82065442949533
37,-90.8022405486554
38,-132.39117914438248
39,-77.10214014351368
40,-136.01521580852568
41,-122.30520671699196
42,-124.98115396499634
43,-106.5034943036735
44,-236.4380454272032
45,-164.99776423349977
46,-11.818458929657936
47,-77.48718278575689
48,-122.06134222261608
49,86.8528148920741
50,-69.80267699062824
51,-72.272784515284
52,-57.10700539126992
53,-93.17915538698436
54,-75.59656371362507
55,-87.701845318079
56,-19.571130899712443
57,-111.31293638935313
58,-74.20408708043396
59,-51.307413605973125
60,-90.14955247193576
61,-101.45033490657806
62,-281.69073181413114
63,-58.23352222889662
64,-87.3123349873349
65,-147.92990791471675
66,-194.2601658180356
67,-86.73011601623148
68,-12.926822775509208
69,-0.1305613368749618
70,-81.04673352837563
71,-73.82579720020294
72,-59.60928346216679
73,-82.52337564434856
74,-63.78585344552994
75,-178.9158931253478
76,-56.21141502261162
77,-92.24920942634344
78,-46.49510675668717
79,-118.62959059607238
80,-55.35726295784116
81,-61.51724725449458
82,-216.80340418685228
83,-58.22050383500755
84,-37.13252649269998
85,-43.72842562803999
86,-34.45269259251654
87,-54.34299682918936
88,-62.20180374756456
89,-92.39090462587774
90,-26.822004288434982
91,-219.464457385242
92,-69.45975555665791
93,-18.94817715510726
94,-6.55550841987133
95,-46.54138743504882
96,-68.06700020749122
97,-65.7141629755497
98,4.120430268347263
99,-199.7757097557187
100,-170.68859272263944
101,-95.9372877869755
102,1.529123226471711
103,-54.151323636993766
104,-31.3664964819327
105,-112.94425021857025
106,-71.42735055461526
107,-13.712900003418326
108,-18.25551768951118
109,-28.0919718304649
110,10.47753968089819
111,-96.4591640746221
112,-65.31488537602127
113,-32.25584885291755
114,20.75800375314429
115,-183.69543684646487
116,1.6344018350355327
117,-105.07882688194512
118,-56.71441694162786
119,19.638356633484364
120,-18.3627470433712
121,-159.50726403295994
122,1.6241466999053955
123,-64.32120016589761
124,-55.378870433196425
125,-5.612575226230547
126,-191.3925659377128
127,3.4896811908110976
128,-44.24770531523973
129,7.327826823573559
130,-25.526570968329903
131,-36.44953477755189
132,-61.06076454930008
133,27.35856175795197
134,-2.498116094619036
135,-23.60963643155992
136,-33.978345782728866
137,85.3488137726381
138,-0.1600773110985756
139,-75.1037049718434
140,-52.17710933461785
141,-44.75481687113643
142,-4.427587250247598
143,-42.260154727846384
144,7.526740486733615
145,-8.117224679794163
146,-29.775490201078355
147,12.203571627294878
148,2.0552810430526733
149,-17.4557460360229
150,-167.10520648947568
151,-268.9635159303434
152,-417.75218654377386
153,-183.46783374913505
154,-18.3494419939816
155,-53.446529906243086
156,-6.704870343208313
157,-191.4591182048316
158,-51.21773785084952
159,11.699816590175033
160,5.658348085358739
161,-20.45978325977921
162,-53.193789672339335
163,-30.67294020832924
164,-165.19149643508717
165,16.37246355880052
166,-33.1505804779008
167,5.692766786087304
168,-42.07698065903969
169,-24.44879927393049
170,-41.96376062114723
171,-51.332098885439336
172,23.840345232514665
173,-185.7370626823977
174,-10.299321390746629
175,16.77545913407812
176,-59.57251034118235
177,-43.5340709220618
178,-121.59659870620816
179,-144.207655283215
180,-58.04142275126651
181,31.93722043931484
182,19.099034562706947
183,5.02939123287797
184,-77.78109390800819
185,4.582206305116415
186,-228.3013734491542
187,-3.031152903568
188,-49.41582070942968
189,-6.033932022750378
190,-17.564758975058794
191,-35.378426861949265
192,-49.14370163157582
193,-40.362200163071975
194,-12.710785185336135
195,-43.27268634783104
196,-24.55651674908586
197,-32.81517794029787
198,-157.54887112462893
199,-139.22788889100775
200,-57.18492552638054
201,-12.97939042840153
202,-148.80744037311524
203,-120.63154711574316
204,-129.6853650980629
205,-4.143770642578602
