episode,avg_q
0,0.15559924
1,0.28956386
2,0.4161779
3,0.109771155
4,-0.059344597
5,0.047305442
6,0.054430436
7,0.0595999
8,-0.07832007
9,-0.14843324
10,-0.17531626
11,0.33156794
12,0.18215862
13,0.3486465
14,0.2379725
15,0.40320992
16,0.1866704
17,0.2911316
18,0.1907607
19,0.19179916
20,0.23516521
21,0.9328289
22,0.96733725
23,1.0385268
24,0.8137617
25,0.90322286
26,1.1479887
27,1.0569971
28,1.0726501
29,0.8717677
30,1.9938536
31,1.7001528
32,1.9097351
33,1.6878967
34,1.9360332
35,2.0552661
36,1.9752595
37,1.8799419
38,1.8095644
39,1.9061584
40,3.0752165
41,3.4710991
42,3.605328
43,2.9465466
44,3.0125985
45,3.1729903
46,3.319884
47,3.2059941
48,3.0360212
49,4.2487335
50,5.5450277
51,4.9110665
52,4.873017
53,5.2120256
54,5.158075
55,5.1505675
56,4.9451723
57,5.2121625
58,5.0993586
59,6.7085814
60,5.7694063
61,6.4683585
62,6.408571
63,6.05617
64,5.948333
65,6.00685
66,5.935449
67,5.899218
68,6.8290253
69,6.6389036
70,6.631406
71,6.6849046
72,6.7486296
73,6.6988845
74,6.4191504
75,6.8192534
76,6.4444633
77,6.5061555
78,8.172875
79,7.3516135
80,7.3811965
81,7.249913
82,7.619876
83,7.445441
84,7.477353
85,8.568307
86,7.8275957
87,8.0093975
88,8.380922
89,7.6027384
90,8.168695
91,8.104751
92,7.9945273
93,8.7237
94,8.396158
95,8.545885
96,8.327971
97,8.595236
98,8.312922
99,8.461439
100,9.027717590332031
101,9.029452323913574
102,9.19785213470459
103,9.252159118652344
104,9.122222900390623
105,9.135144233703612
106,8.86807918548584
107,9.542576789855955
108,9.491193771362305
109,9.48284912109375
110,9.561541557312012
111,9.259303092956545
112,9.599438667297363
113,9.335979461669922
114,9.632134437561035
115,9.926553726196287
116,9.660585403442385
117,9.65949249267578
118,9.41985034942627
119,9.508544921875
120,9.487035751342772
121,10.21692943572998
122,10.410520553588867
123,10.432676315307615
124,10.364252090454102
125,10.04017162322998
126,10.55910301208496
127,10.756059646606444
128,10.521900177001951
129,10.515459060668944
130,10.769899368286133
131,10.677400588989258
