episode,length,total_reward,avg_q
0,999,-6.460411025199714,-0.0006738844
1,999,-4.48686620852274,-0.0016446179
2,999,-43.25608516857028,-0.0016667321
3,999,-12.438197870440549,-0.0017806769
4,999,-8.36287992913166,-0.0020774705
5,999,-18.41762867950092,-0.0024475066
6,999,-26.702811752822857,-0.0027655638
7,999,-44.68883897761801,-0.0036289059
8,999,-24.43843429577396,-0.0037750234
9,999,-6.480408754026204,-0.003966927
10,999,-5.296910750372416,-0.0040071532130241
11,999,-2.0283739478044005,-0.0040848436765372
12,999,-3.639824305518232,-0.004167279228568
13,999,-2.606610852596397,-0.0043394374661147
14,999,-7.655595738366569,-0.0044958661310374
15,999,-35.89404874620959,-0.0044182324782013
16,999,-7.821526199464763,-0.00457832403481
17,999,-2.9710506593227493,-0.0046329880133271
18,999,-6.386126488320925,-0.004546889103949
19,999,-15.884042416557229,-0.0048968526534736
20,999,-19.27588303392986,-0.0046523129567503
21,999,-41.95730938203633,-0.0047181090340018
22,999,-2.312482621387187,-0.0046684308908879
23,999,-5.406854046751892,-0.0047695571556687
24,999,-11.398477608279835,-0.0046368273906409
25,999,-13.445453395694082,-0.0046554184518754
26,999,-3.3449161518713257,-0.0050489199347794
27,999,-7.665681168924365,-0.0045417244546115
28,999,-12.182796863375671,-0.0046301153488457
29,999,-2.9343494160298933,-0.0050603738054633
30,999,-24.69619613689406,-0.0049761976115405
31,999,-16.993096016161086,-0.0048763789236545
32,999,-6.064887771678491,-0.0049855359829962
33,999,-69.28023107908666,-0.0051504964940249
34,999,-17.34518284040678,-0.0049707908183336
35,999,-1.5510471938782544,-0.0057446234859526
36,999,-1.709627384518292,-0.0053928475826978
37,999,-19.340812343354628,-0.0057844170369207
38,999,-3.884706328390168,-0.0058958046138286
39,999,-15.755725991095822,-0.0058511365205049
40,999,-36.5075690636877,-0.0061961361207067
41,999,-8.805807817370294,-0.0060104392468929
42,999,-15.778613872204645,-0.0062797055579721
43,999,-22.498427715396065,-0.0061704451218247
44,999,-4.77729816325449,-0.0062258997932076
45,999,-9.056201000333465,-0.0062102652154862
46,999,-5.0409755336629445,-0.0062629347667098
47,999,-1.7241442524231747,-0.006460134871304
48,999,-1.946846604555112,-0.0063624619506299
49,999,-23.18873067207121,-0.0065468624234199
50,999,-8.080639879478383,-0.0065755560062825
51,999,-4.704817297480371,-0.0065012513659894
52,999,-13.937252659976366,-0.0068840645253658
53,999,-19.090346334676724,-0.006790186278522
54,999,-4.948439910175388,-0.0066805714741349
55,999,-8.057711114738133,-0.0069732563570141
56,999,-2.524391884876376,-0.0074296630918979
57,999,-14.990230797338114,-0.006942487321794
58,999,-62.087824115280455,-0.0071067595854401
59,999,-3.933052856923857,-0.0071962857618927
60,999,-15.50278532124139,-0.0071879848837852
61,999,-3.02407440158136,-0.0074593042954802
62,999,-1.3282439382112503,-0.0075760977342724
63,999,-5.129389714011623,-0.0075972764752805
64,999,-8.708292842354739,-0.0077899880707263
65,999,-7.49819649425072,-0.0078882314264774
66,999,-29.946386728043308,-0.0077966330572962
67,999,-2.02634916123203,-0.0077721565030515
68,999,-7.849252113103152,-0.0078038414940238
69,999,-10.20120821401648,-0.0077648824080824
70,999,-61.776137825101614,-0.0075853178277611
71,999,-12.132210870432708,-0.0075668157078325
72,999,-7.36417496706978,-0.00761808315292
73,999,-28.20276371203363,-0.0072923726402223
74,999,-3.879719498155588,-0.0076467087492346
75,999,-5.672273581650856,-0.0074909152463078
76,999,-16.75856378588091,-0.007771466858685
77,999,-19.409464074969208,-0.0075270072557032
78,999,-43.38074594084173,-0.0072661852464079
79,999,-17.175785675783093,-0.0073218420147895
80,999,-3.559951199361787,-0.0075317928567528
