episode,avg_q,step
0,-0.7113116,159
1,-0.7683992981910706,241
2,-1.7909858226776123,305
3,-2.567644119262696,389
4,-1.2872401475906372,454
5,-0.8674318194389343,539
6,-0.4605920910835266,615
7,-0.6444379687309265,695
8,-0.1868298351764679,768
9,-0.5309686064720154,846
10,-1.031075119972229,901
11,0.0067627048119902,1024
12,-0.0329548045992851,1141
13,-0.050103235989809,1231
14,-1.2240281105041504,1301
15,0.0794419795274734,1389
16,-0.1964110881090164,1583
17,-0.0114923464134335,1877
18,-0.4621554315090179,2877
19,-0.2600320279598236,3385
20,0.0734179764986038,3618
21,-0.2515079379081726,4618
22,-0.486687570810318,4781
23,-0.8376411199569702,5004
24,-0.0053224475122988,5177
25,-0.2643502652645111,5877
26,-0.515434741973877,6012
27,-0.1861175000667572,6138
28,-0.0011546567548066,6344
29,-0.4533053338527679,6498
30,-0.1789838224649429,6705
31,0.0719958692789077,6834
32,0.1624460220336914,6941
33,-0.4716305732727051,7092
34,0.0362054929137229,7348
35,0.1607426106929779,7572
36,0.3852033019065857,7712
37,-0.7740024328231812,7852
38,0.9962486028671264,7985
39,-0.1122694239020347,8121
40,-0.8281856775283813,8302
41,-0.0006030917284078,8391
42,1.1169370412826538,8504
43,0.6446962356567383,8616
44,0.7021015286445618,8715
45,1.5753697156906128,8818
46,0.4533238410949707,8966
47,0.773605227470398,9073
48,0.686825156211853,9187
49,0.0997607633471489,9320
50,-0.4100006520748138,9471
51,1.89760971069336,9566
52,2.135918140411377,9712
53,2.7764463424682617,9865
54,-0.2913963794708252,9970
55,0.7185603380203247,10087
56,1.4388535022735596,10230
57,1.3916220664978027,10341
58,2.291553497314453,10455
59,-0.6622792482376099,10596
60,0.7167457342147827,10696
61,0.6453238725662231,10831
62,1.2261877059936523,10946
63,2.2213943004608154,11052
64,1.362863063812256,11173
65,1.341343641281128,11289
66,1.663374900817871,11436
67,1.5342994928359983,11879
68,1.6258430480957031,12045
69,0.7498109936714172,12214
70,-1.157873034477234,12370
71,1.1590430736541748,12463
72,-0.1097442284226417,13463
73,0.9661394357681274,13943
74,1.553450584411621,14102
75,1.3099663257598877,14296
76,1.7800365686416626,14480
77,1.341665506362915,14645
78,1.6511911153793335,14812
79,3.081618309020996,14992
80,1.8488792181015008,15252
81,2.6803810596466064,15599
82,-0.3576907217502594,15725
83,-0.2634900510311126,15950
84,1.254900336265564,16129
85,0.062595784664154,16557
86,0.8615535497665405,16722
87,0.0995092764496803,16848
88,3.7598724365234375,17020
89,1.010505437850952,17178
90,0.7478011250495911,17313
91,1.0303759574890137,17478
92,2.5612754821777344,17644
93,1.648280143737793,17799
94,-0.7349652647972107,17964
95,2.963724374771118,18136
96,-1.152423858642578,18314
97,0.6340302228927612,18455
98,2.386125326156616,18575
99,1.959215521812439,19575
100,0.3023792505264282,19811
101,1.3032495975494385,20811
102,2.4825687408447266,21811
103,2.172335147857666,22019
104,1.9735206365585327,23019
105,2.8743669986724854,24019
106,2.813148021697998,25019
107,3.572153091430664,26019
108,3.7025465965271,27019
109,3.968960523605346,28019
110,3.612963914871216,29019
111,2.994720935821533,30019
112,3.705411434173584,31019
113,1.933026909828186,32019
114,3.822843074798584,33019
115,4.077439308166504,34019
116,5.627390861511231,35019
117,4.606646537780762,36019
118,4.360439777374268,37019
119,3.7452712059021,38019
120,7.251970767974853,39019
121,5.026355743408203,40019
122,6.158131122589111,41019
123,7.827162742614746,42019
124,5.593202114105225,43019
125,4.394097805023193,44019
126,3.772770643234253,45019
127,7.090213775634766,46019
128,7.087126731872559,47019
129,7.223581790924072,48019
130,5.745688438415527,49019
131,5.47651481628418,50019
132,6.972099304199219,51019
133,4.988572120666504,52019
134,5.9674224853515625,53019
135,7.015751838684082,53613
136,7.217799186706543,54613
137,7.286014556884766,55613
138,6.206587314605713,56613
139,8.334531784057617,57613
140,7.775267124176025,58613
141,7.632684230804443,59613
142,8.73361873626709,60613
143,8.314233779907227,61613
144,8.822619438171387,62613
145,7.814432621002197,63613
146,8.943377494812012,64613
147,10.046636581420898,65613
148,12.300989151000977,66613
149,8.546697616577148,67613
150,8.936893463134766,67932
151,6.330874443054199,68850
152,9.018163681030272,69850
153,8.335822105407715,69903
154,9.185256958007812,70903
155,9.74768352508545,71903
156,9.330317497253418,72903
157,9.880366325378418,72978
158,6.922051906585693,73978
159,9.38918113708496,74978
160,12.21632194519043,75978
161,9.73450756072998,76978
162,8.671993255615234,77978
163,10.34454345703125,78978
164,10.005356788635254,79978
165,9.517358779907228,80978
166,9.801445960998535,81978
167,10.680252075195312,82726
168,9.17894172668457,83726
169,9.766020774841309,84726
170,10.794745445251465,85726
171,10.284696578979492,86726
172,10.510862350463867,87726
173,10.101574897766112,88726
174,10.32695198059082,89726
175,9.771392822265623,90164
176,10.033891677856444,91164
177,10.247628211975098,91241
178,11.887558937072754,92241
179,10.354063034057615,93241
180,10.490530014038086,94241
181,9.897575378417969,95241
182,11.648176193237305,96241
183,10.592618942260742,96790
184,10.39620590209961,96860
185,11.58915901184082,97860
186,10.75126838684082,98860
187,11.905845642089844,99860
188,10.773112297058104,100860
