episode,absolute error,step
268,18965.8019144466,140413
269,20895.51756068624,140663
270,15811.88917471711,141663
271,9466.599267864089,141863
272,25163.127256958847,142863
273,34642.353201905054,143361
274,27485.861396890166,144361
275,14664.61241972756,144514
276,26448.376140052584,144869
277,22735.69882771369,145068
278,41789.34351573563,145993
279,26047.74615397622,146351
280,19164.1384358814,147351
281,15739.994449991074,148351
282,15396.28510040647,149351
283,43802.72263795711,150100
284,25032.751265573654,150491
285,8107.442474960584,150670
286,18766.88377830708,150874
287,4938.824723560115,150989
288,39340.73283397981,151989
289,35057.77075748762,152679
290,30998.33789835953,153679
291,20182.81130059836,153945
292,34805.91441940844,154945
293,18137.140563208017,155945
294,10400.018954952244,156945
295,28742.475909174384,157945
296,20686.415088212,158350
297,50449.88122557629,159350
298,4708.785460373722,159427
299,56074.42412297228,160112
300,55354.34145979709,160423
301,39304.19133436009,161423
302,44678.14231801152,162423
303,23978.07064346751,162972
304,47529.1710093586,163972
305,31769.32551636952,164676
306,26655.82984954709,165273
307,35429.91843664552,166273
308,41411.94838640042,167273
309,29346.959773575603,168273
310,10164.855976020395,168469
311,24779.795251729545,168930
312,32235.18173135275,169930
313,36435.42601112994,170930
314,31608.818235478368,171930
315,40023.7328517701,172930
316,42853.223944003046,173930
317,44074.5248728407,174930
318,46680.02967805541,175930
319,35784.50849201237,176930
320,42270.47620187636,177930
321,31539.52175974647,178930
322,14370.065254173493,179119
323,30799.21281211021,180119
324,15269.080676832911,180377
325,44038.8639780388,181377
326,39702.42405792833,182377
327,36971.0838279614,183377
328,40267.77602970389,184377
329,11800.936607078853,185377
330,33225.03988816205,186377
331,42200.3261189824,187377
332,40089.041396528686,188377
333,42772.8462472569,189377
334,35499.89452339433,190377
335,37443.34398232948,191377
336,33273.06164607647,192377
337,40096.67972865456,193377
338,22497.923324408235,194377
339,33593.78699526851,195377
340,40465.66411997362,196377
341,37165.738643465855,197377
342,39292.78705946173,198377
343,39717.43379542789,199377
344,40535.80555222428,200377
345,29959.563295590026,201377
346,40015.093664543776,202377
347,34361.77630300137,203038
348,36790.6854163179,204038
349,42691.125558676176,205038
350,42462.48669837059,206038
351,20214.050296663925,206375
352,43123.797951923705,207375
353,43992.14037320338,208375
354,43573.53623801484,209375
355,27674.52682922409,210375
356,40144.73845632759,211375
357,35418.89952265654,212375
358,41479.45420394299,213375
359,45808.47431722668,214375
360,43534.9831146781,215375
361,35622.83992669227,216375
362,45945.57280153209,217375
363,41445.3321638407,218375
364,40162.47117839177,219375
365,40609.73211327166,220375
366,42976.620987368166,221375
367,37011.79797610216,222375
368,42557.53478480385,223375
369,43860.56981600914,224375
370,38661.31073960226,225375
371,39430.35443947225,226375
372,17528.686783617653,227375
373,42227.65329488452,228375
374,41833.49570872282,229375
375,42951.28932239251,230375
376,40192.81549977675,231375
377,28315.591945234468,232375
378,17849.61957724449,233375
379,26944.998712283123,234375
380,27136.53831756368,235375
381,23384.441369992222,236375
382,30605.18053393088,237375
383,27185.50305520869,238375
384,20962.297611624992,239375
385,27280.842669921203,240375
386,29510.83721646377,241375
387,15073.191456704508,242375
388,11917.471723546178,243375
389,31164.35304149764,244375
390,17557.964128335403,245375
391,23981.612453830046,246375
392,12773.539191751575,247375
393,43098.96816400703,248375
394,25028.622216700267,249375
395,11497.272677243396,250375
396,37789.61391622004,251375
397,30794.350357696792,252375
398,27281.537036743102,253375
399,29587.811884039675,254375
400,40870.373637228746,255375
401,32679.10882151016,256375
402,8944.712605928285,257375
403,37831.03078535872,258375
404,30535.58184672855,259375
405,27190.43687519109,260375
406,31833.31300888068,261375
407,35926.61480771444,262375
408,16091.302955364396,263375
409,10399.207592656756,264375
410,21842.788486772704,265375
411,9870.46933162853,266375
412,11056.544497976322,267375
413,36013.65437633785,268375
414,26539.665826156383,269375
415,39666.93352972073,270375
416,11149.429114482373,270522
417,11642.77312875502,270694
418,36844.29549362746,271694
419,27450.5503679448,272694
420,41720.73454590022,273694
421,11207.465010450447,274694
422,25160.366183794005,275694
423,24492.632932489098,276694
424,25753.19059645001,277694
425,23589.4420069011,278694
426,15371.83551532782,279694
427,10307.014946127036,280694
428,24736.308312536166,281694
429,41068.764020916686,282694
430,38963.89170381089,283694
431,31333.304042325977,284694
432,15129.636648440472,285694
433,16642.513122218676,286694
434,43471.36431462932,287694
435,40802.84932415112,288694
436,9018.945790736278,289694
437,41104.522060245785,290694
438,21673.32823366729,291694
439,40923.44345123251,292694
440,43965.05141148578,293694
441,42328.59235231412,294694
442,12206.002366997058,295694
443,24160.197623463424,296694
444,20327.23205857492,297694
445,10771.441870655512,298694
446,24667.050317636,299694
447,21606.83507117121,300694
448,11660.938028725306,301694
449,10859.76284222632,302694
450,41037.191435264045,303694
451,40846.31256155406,304694
452,17814.242411671483,305694
453,38957.53812803295,306694
454,35762.457215874754,307694
455,28088.0227178948,308228
456,24960.19966091783,309228
457,20165.93847132596,310228
458,17040.047128686256,311228
459,26855.62083945379,312228
460,9604.686434711984,313228
461,13065.442667521136,314228
462,13071.542353457888,315228
463,16921.72371481825,316228
464,22267.73606387384,317228
465,42550.40295026516,318228
466,22404.13758213688,319228
467,21584.60599274111,320228
468,27919.727346034844,321228
469,14171.453998957522,322228
470,10788.697224725134,323228
471,19539.749684784947,324228
472,21257.352316064625,325228
473,17807.820253974336,326228
474,16974.180858020907,327228
475,10642.524616161436,328228
476,25130.15566231644,329228
477,41414.016405259055,330081
478,19920.082780658817,331081
479,15153.080631436376,332081
480,14158.07744945546,333081
481,12041.852488337128,334081
482,10466.543521202932,335081
483,31317.1574450987,336081
484,20599.55328677121,337081
485,12675.647194350358,338081
486,14214.264568236473,339081
487,10077.468655312832,340081
488,12603.239197286335,341081
489,13789.426468469055,342081
490,16330.37766295175,343081
491,17659.411396031264,343379
492,10254.916346199569,344379
493,30052.035941934075,345379
494,36855.3669786848,346379
495,14282.997654693432,347379
496,9789.222117740275,348379
497,17133.855486188455,349379
498,9880.88581898161,350379
499,36255.97372662249,351379
500,9767.330378606424,352379
501,33837.544164409985,353379
502,14924.465177831218,354379
503,26979.54395946434,355379
504,12043.05662647163,356379
505,13867.064257203909,357379
506,15358.575586539426,358379
507,22657.756583735056,359379
508,14723.860465200043,360379
509,32516.55096119955,361379
510,12506.151313571412,362379
511,21194.44351664844,363379
512,13571.440787983049,364379
513,11786.095594213682,365379
514,19644.832607398595,366379
515,35886.16672024581,367379
516,25645.448028772706,368379
517,25872.75862859197,369379
518,35957.26555915324,370379
519,36594.39475802303,371379
520,12879.143738329762,372379
521,14445.53270476408,373379
522,11947.613832421286,374379
523,14932.687419910502,375379
524,36025.439061752906,376379
525,24126.732675909112,377379
526,19137.101801163768,378379
527,20593.021620718075,379379
528,11625.068297220316,380379
529,27122.63184124503,381379
530,35564.99892260882,382379
531,10433.41488718136,383379
532,11673.125093369668,384379
533,31653.096146662763,385379
534,13323.331984769213,386379
535,19727.23075307481,387379
536,7874.680362585355,387482
537,26830.268520813268,388482
538,11144.611341188884,389482
539,11193.467216399802,390482
540,9595.485605467611,390592
541,15404.087846326553,391592
542,10761.152865404516,391752
543,15524.943291054244,392752
544,13103.658649222289,393752
545,9926.5776431885,393855
546,8443.76644934379,394855
547,13869.878623889548,394978
548,22802.30723796541,395978
549,13836.637177683975,396978
550,19701.16430431996,397978
551,11318.155068804892,398978
552,16215.184898054837,399978
553,12347.499261019955,400978
554,12490.975220735882,401978
555,10350.788370102691,402978
556,8885.168632834839,403978
