episode,regret
0,45.14978136727495
1,123.79585710276126
2,57.78081656118618
3,837.893522684184
4,32.26434650003115
5,96.94255891937848
6,162.87530980082806
7,233.52763554821595
8,61.54876478327403
9,91.4882946374841
10,37.14066842618961
11,61.06508853312144
12,265.5018807600508
13,254.1090902647566
14,365.83245905758935
15,72.56666001748317
16,125.3909358307382
17,43.622794433906094
18,723.4152101046425
19,180.07671082265404
20,484.2686568172962
21,52.162078982309765
22,106.08553020714795
23,35.536389653365426
24,157.11819441425385
25,205.2751027617352
26,193.9414221670737
27,33.48324942633
28,28.050130208497592
29,326.1947946296761
30,418.7385417747802
31,1647.9272660786603
32,30.464074796435703
33,48.14796302988079
34,199.62060555386745
35,204.16160769760856
36,303.1623730626768
37,433.1103075218959
38,97.5170558666385
39,133.96832678368924
40,265.2658479646713
41,506.672713674148
42,352.1028261708536
43,2398.9249858199546
44,375.4734417876063
45,228.5440434816508
46,177.1159005410741
47,125.81601120523456
48,52.71949463129209
49,44.92290222837862
50,659.2465997379561
51,541.3837501989051
52,857.6926307235855
53,284.0254819315025
54,364.55019329252616
55,224.3643025542603
56,361.2100468646545
57,845.8079840439557
58,409.4680944690219
59,1336.6587800548346
60,105.88039775943736
61,1661.0627252578042
62,286.49770177792897
63,96.32552360352302
64,210.70532384002885
65,720.8508943443915
66,244.3794448988248
67,184.4749559024966
68,1515.4640736019107
69,1334.87758731749
70,622.9756913359429
71,372.5242898053783
72,1434.8586454881208
73,10287.46050404948
74,37.21811350335794
75,41.63254955573623
76,9629.756009541385
77,4308.139241878451
78,142.20462384943872
79,4821.447616696974
80,353.9452412408997
81,4748.963769985326
82,6081.323287362802
83,1422.1206506007636
84,6670.059346080187
85,491.52427087341215
86,5200.704338868545
87,3770.2603685064137
88,3161.973029579034
89,8113.148421976077
90,7471.136592212124
91,4673.952100082958
92,4428.196152613687
93,3135.893845793448
94,4496.182078287087
95,16550.990382341475
96,9230.904747329489
97,3298.7781617275027
98,20087.442862891887
99,11508.222563847195
100,8973.81065607739
