episode,absolute error
0,70.40379321766622
1,82.32689212409394
2,46.605004803043805
3,430.4467952007923
4,33.112079539262304
5,134.23377362192522
6,68.10103456129075
7,30.37724674449076
8,36.1328478443676
9,212.2751931291124
10,81.35208723101026
11,49.53233934363364
12,34.6032573680713
13,361.54372675354
14,65.05955389631663
15,78.78841991842344
16,172.55742549162764
17,49.08474698986896
18,33.190863257083784
19,81.81259929879775
20,36.54643083799075
21,75.27532335626503
22,92.38258775825165
23,33.6405899578778
24,27.86087722103109
25,152.2879922941584
26,28.17502394427941
27,64.25333133905384
28,54.33756041460535
29,153.31645493527714
30,46.127302372998685
31,258.4385384452754
32,56.45655574084178
33,110.03269608550394
34,368.61416857530384
35,65.04595476692555
36,95.08983192209703
37,31.5414034789371
38,28.59297029776589
39,113.87368513807456
40,480.91161869415305
41,45.12718174066962
42,146.46823138083684
43,98.7488453816836
44,57.102495578849165
45,398.189066306177
46,430.3239741085383
47,58.66375832530606
48,757.2438883328821
49,126.27636439955498
50,235.8732527981232
51,1112.0857405197128
52,574.6186213131782
53,64.12750291635189
54,952.7713602936576
55,232.73231803857905
56,1741.1325089843924
57,77.71971361786758
58,194.61872369626244
59,321.4811912875621
60,601.6817396023898
61,26.79497004817237
62,934.8949227313182
63,472.16689583487886
64,931.9005668443305
65,1313.7427803666276
66,872.6021179439475
67,462.10173543949895
68,1310.1991498240843
69,3816.37590240905
70,227.53010952765385
71,832.1581793861193
72,1594.1886175523405
73,2514.798920087056
74,39.5548316896818
75,3009.948322442933
76,483.6402340589826
77,2404.2701023496325
78,6262.7957310719485
79,291.18161075567207
80,87.58977400785443
81,3549.8336592457104
82,2800.1803934919344
83,13110.764089231265
84,3385.406284171649
85,925.820128913392
86,1460.9437819442633
87,8477.0317221877
88,2145.7017990728923
89,5309.144158335344
90,2797.156715619837
91,5236.927136106089
92,3596.6591327948254
93,4184.928352338584
94,4788.544828650986
95,6746.456193690999
96,10825.15815269571
97,3354.114929464011
98,3324.686255871474
99,4989.118329951081
100,10736.015461184066
101,3851.667202898997
102,5191.750162622456
103,135.24599428826366
104,6852.266626207379
105,8279.815600461883
106,11163.71070131627
107,3897.507822697169
108,7703.498355514811
109,11955.72314164
110,6803.331778905233
111,15656.856926708218
112,7488.138768686958
113,19160.365301745263
114,9514.730485245962
115,3812.6072668795086
116,20950.64906959216
117,27837.70364337939
118,24041.00295389669
119,1058.6043605878715
120,1476.8224995697412
121,4142.975393226851
122,13198.643361325088
123,29292.620013271186
124,4779.016299726425
125,29735.5335459906
126,26319.862970962786
127,4820.466948820028
128,23767.54446347096
129,15180.149526683148
130,18260.158212820228
131,26161.21734278868
132,650.3430929903277
133,1981.944987428932
134,29724.85717871964
135,25797.13298244365
136,25918.680272637423
137,17197.733877470226
138,15018.960874537355
139,24140.680852447647
140,28233.148218861275
141,24048.416937122845
142,18117.05837232602
143,9953.60451893401
144,24599.262618792483
145,23426.252903999142
146,21575.48287686867
147,28969.83875139937
148,16540.038687178218
149,21817.534773880405
150,12311.22280495434
151,9411.756490971258
152,16833.89128003877
153,3764.8178565880585
154,27832.80510041597
155,25903.07469321494
156,24420.625110247453
157,18440.69863924116
158,17288.19541012053
159,13803.86371739102
160,20279.124945688745
161,14333.40562441934
162,20394.56615935178
163,9579.508021588988
164,13582.478662871674
165,20302.939660755863
166,24486.157907896515
167,19867.369393259058
168,26721.06265831629
169,21367.71849090253
170,21353.36455559083
171,9972.386191056024
172,19598.3030101167
173,17336.632526357003
174,8192.537270169565
175,22856.968748010404
176,23480.06198014636
177,15632.56615486949
178,22566.69225905896
179,16717.38808226342
180,13447.129253290968
181,22242.465673107978
182,6037.009266405343
183,17722.86530082884
184,22984.17459412808
