episode,length,total_reward,avg_q,exploration
0,84,-239.5700225959129,-0.07018026,1.0
1,89,-445.1091979710681,0.7824278,0.9950248756218908
2,79,-168.63598422043344,1.369671,0.990074503106359
3,102,-136.1916867353371,2.7085903,0.98514875930981
4,67,-184.2183557845633,3.2497394,0.9802475217013036
5,78,-178.6725650347626,3.6180167,0.9753706683595064
6,84,-109.0736537930853,5.2979803,0.970518077969658
7,103,-138.38710587591498,7.1255646,0.9656896298205554
8,100,-140.2379633595752,8.285612,0.9608852038015476
9,93,-271.0947298595822,9.697042,0.95610468039955
10,122,-280.0749062220617,10.966802597045898,0.95134794069607
11,76,-38.41578743680229,11.677080154418944,0.9466148663642489
12,142,-89.65563604658325,12.988174438476562,0.9419053396659192
13,83,-109.5838240079186,13.483180046081545,0.937219243448676
14,87,-106.11083643480912,13.557345390319824,0.9325564611429612
15,66,-34.927559813685775,14.887202262878418,0.9279168767591656
16,85,-125.79585785995732,15.680816650390623,0.923300374884742
17,91,-126.15028829015064,14.988265991210938,0.9187068406813352
18,98,-95.50352675640472,16.36737632751465,0.914136159881926
19,55,-81.4925203425617,15.75404930114746,0.909588218787986
20,107,-119.7723884869986,15.913393020629885,0.9050629042666528
21,151,-102.33813968806496,16.43769645690918,0.9005601037479133
22,70,-95.80340556053582,16.46234893798828,0.8960797052218044
23,102,-350.5976770196613,16.120086669921875,0.8916215972356263
24,122,-91.98754306006666,16.900997161865234,0.8871856688911706
25,130,-120.13926032939264,16.954917907714844,0.8827718098419609
26,101,-99.85282032799864,16.379627227783203,0.8783799102905084
27,111,-98.1926308855764,16.77838134765625,0.8740098609855806
28,77,-84.35993459708254,16.483789443969727,0.8696615532194834
29,78,-132.02650399319518,16.712329864501953,0.8653348788253566
30,68,-77.50034514623563,17.333232879638672,0.8610297301744844
31,74,-106.3396415877352,17.2163028717041,0.8567460001736164
32,114,-104.59198779806596,17.575870513916016,0.8524835822623049
33,107,-87.54336097156694,17.1679630279541,0.8482423704102537
34,71,-80.22644396490836,16.631450653076172,0.8440222591146804
35,129,-215.89759830446948,16.25922393798828,0.839823143397692
36,123,-142.22154972317657,16.823657989501953,0.8356449188036738
37,82,-162.44288072287185,16.416107177734375,0.8314874813966904
38,72,-149.66977160310023,16.455657958984375,0.827350727757901
39,110,-140.50144485923076,16.553319931030273,0.8232345549829861
40,90,-120.32063037736438,15.98321533203125,0.8191388606795883
41,103,-54.91777892818944,16.458831787109375,0.8150635429647646
42,133,-84.65898900958823,15.671873092651367,0.8110085004624524
43,115,-161.5505322087015,16.830123901367188,0.8069736323009478
44,102,42.2491455067389,15.940564155578612,0.8029588381103959
45,120,-226.0935625490021,16.047836303710938,0.7989640180202945
46,96,-130.17941885925555,16.170429229736328,0.7949890726570096
47,63,-128.69395011474478,15.28698444366455,0.7910339031413032
48,64,-100.72374555137053,15.871012687683104,0.7870984110858739
49,122,-200.5410742191582,15.866744995117188,0.7831824985929094
50,140,-241.74404905475467,15.940546989440918,0.7792860682516513
51,84,-98.9340005048182,15.680425643920898,0.7754090231359715
52,79,-110.69876948873596,15.576947212219238,0.7715512668019617
53,173,-28.31186503737314,15.61244773864746,0.7677127032855341
54,117,-48.8834820735067,15.585996627807615,0.763893237100034
55,159,-28.461638090228007,14.52978515625,0.7600927732338647
56,94,-105.89896414212188,14.923596382141112,0.7563112171481242
57,92,-64.62894708536726,15.594487190246582,0.752548474774253
58,96,-121.70253889344272,14.610430717468262,0.7488044525116946
59,140,-89.49124819974753,14.465173721313477,0.7450790572255668
60,82,-89.12907158300179,14.610832214355469,0.7413721962443451
61,141,-4.651716446430655,14.128860473632812,0.7376837773575574
62,131,-61.939472213280126,14.876200675964355,0.73401370881349
63,135,-87.70780488490418,14.257939338684082,0.7303618993169055
64,91,-32.03163181854629,14.863263130187988,0.7267282580267718
65,73,-64.65807927733792,14.655924797058104,0.7231126945540018
66,134,-29.80150136787008,14.797106742858888,0.719515118959206
67,92,-82.38152860256764,14.063535690307615,0.7159354417504538
68,88,-49.26266269702434,14.178268432617188,0.7123735738810486
69,95,-87.12416856559435,13.916699409484863,0.7088294267473121
70,135,-101.82397203954464,15.24829387664795,0.7053029121863803
71,77,-85.34415421327243,14.600870132446287,0.7017939424740103
72,79,-120.90423711675072,14.785616874694824,0.6983024303223984
73,178,-47.75188919507261,15.16636848449707,0.6948282888780084
74,126,-92.56766549147753,14.16396141052246,0.6913714317194114
75,131,-24.80142927539333,14.083531379699709,0.6879317728551358
76,96,-78.23613340443875,14.059463500976562,0.6845092267215283
77,165,-152.1915901086404,13.172094345092772,0.6811037081806252
78,186,-76.32899334466006,13.361442565917969,0.6777151325180351
79,153,-195.9296648663404,13.006976127624512,0.674343415440831
80,135,-91.51718079956343,13.360690116882324,0.6709884730754538
81,147,-18.482968044438465,13.846158027648926,0.6676502219656257
82,82,-175.63420360763993,13.963030815124512,0.6643285790702744
83,90,-24.879705641968783,14.345402717590332,0.6610234617614672
84,103,5.607136717509292,14.247235298156738,0.6577347878223555
85,58,-72.0479531593352,14.05284595489502,0.6544624754451299
86,82,-83.84208182655007,14.219886779785156,0.651206443228985
87,130,-56.88768700249953,14.4646577835083,0.6479666101780946
88,130,-234.6912101519607,13.498431205749512,0.6447428956995968
89,117,-7.46841781636833,14.252159118652344,0.6415352196015889
90,95,-65.58736552086555,13.699688911437988,0.6383435020911333
91,106,-72.9985574773098,14.075653076171877,0.6351676637722721
92,260,-1.2495552986631535,13.981493949890137,0.6320076256440519
93,157,-18.933169426580942,14.230242729187012,0.6288633090985591
94,131,-84.86159642810765,14.415881156921388,0.6257346359189644
95,150,-112.5971989619792,13.648096084594728,0.6226215282775766
96,216,-57.193451857502126,13.319494247436523,0.6195239087339071
97,147,8.01831051232918,13.75000286102295,0.6164417002327434
98,167,-16.401349428605116,14.026412963867188,0.6133748261022323
99,123,-99.81744562160075,13.725725173950195,0.6103232100519724
100,82,-80.4594021591185,14.245129585266112,0.6072867761711169
101,180,-53.16246480261421,13.299481391906738,0.6042654489264846
102,104,-50.666239487500185,14.194976806640623,0.6012591531606812
103,243,-68.86515475470749,15.048446655273438,0.5982678140902301
104,120,-104.51474282598292,14.113116264343262,0.5952913573037116
105,156,-64.16078712186146,13.838727951049805,0.5923297087599121
106,169,-4.433817360719146,14.373855590820312,0.5893827947859822
107,174,30.34215783129457,14.018020629882812,0.5864505420756042
108,323,-47.32370950434076,14.12371826171875,0.5835328776871684
109,105,-56.78529215338772,13.805364608764648,0.5806297290419588
110,201,13.634099578047014,14.957852363586426,0.577741023922347
111,298,3.0287341297363497,14.256423950195312,0.5748666904699972
112,86,-68.00388566842835,14.534799575805664,0.5720066571840768
113,137,-5.756877269634003,14.136880874633787,0.5691608529194795
114,152,-33.82491285131093,12.497767448425291,0.5663292068850543
115,114,-57.69362668512893,13.336456298828123,0.5635116486418451
116,147,-21.277412867899912,13.467992782592772,0.5607081081013385
117,82,14.06103971591601,13.62205982208252,0.55791851552372
118,195,-125.01864779666344,13.662513732910156,0.5551428015161394
119,158,-80.0236785117427,14.145906448364258,0.5523808970309845
120,203,-99.69102705358188,14.374285697937012,0.5496327333641637
121,100,-38.55287560236448,14.04079246520996,0.5468982421533968
122,188,-101.78441821228624,14.682133674621582,0.5441773553765142
123,55,-82.21335792749048,15.3086576461792,0.5414700053497654
124,91,-38.38085048198026,15.049394607543944,0.5387761247261348
