episode,length,total_reward,avg_q,exploration
0,10,5.0,0.008984591,1.0
1,13,6.0,0.032552794,0.9950248756218907
2,12,6.0,0.08380467,0.990074503106359
3,40,6.0,0.28236148,0.98514875930981
4,11,2.0,0.32973906,0.9802475217013037
5,11,4.0,0.37851855,0.9753706683595063
6,13,1.0,0.42667785,0.970518077969658
7,18,11.0,0.4859116,0.9656896298205554
8,7,3.0,0.5035799,0.9608852038015477
9,30,17.0,0.55346805,0.9561046803995501
10,5,0.0,0.5606416,0.9513479406960699
11,17,7.0,0.60928786,0.9466148663642487
12,14,4.0,0.58698606,0.9419053396659193
13,12,1.0,0.6047023,0.937219243448676
14,10,2.0,0.6392721,0.9325564611429613
15,22,12.0,0.6375456,0.9279168767591656
16,10,2.0,0.63596874,0.9233003748847419
17,12,1.0,0.6303325,0.9187068406813353
