episode,avg_q,step
0,-0.0016326138,831
1,0.0084722563624382,972
2,0.0587456226348876,1699
3,0.0862418338656425,1908
4,0.0303667820990085,2822
5,0.1633968204259872,3821
6,0.1751865595579147,4106
7,0.1807988435029983,5105
8,0.2857272624969482,6104
9,0.2306563109159469,7103
10,0.2848483324050903,8102
11,0.2968174517154693,9101
12,0.2957750260829925,9914
13,0.3339333236217499,10913
14,0.3673649132251739,11912
15,0.3394982814788818,12911
16,0.3361368775367737,13910
17,0.3600974678993225,14497
18,0.3974168002605438,15496
19,0.3880110085010528,16495
20,0.4024377763271332,17299
21,0.4234446585178375,18298
22,0.4023459553718567,18782
23,0.3388892412185669,19459
24,0.5056291818618774,19652
25,0.5428062677383423,20651
26,0.4046200811862945,21650
27,0.4618760049343109,21862
28,0.5823107957839966,22036
29,0.566980242729187,23035
30,0.4831283688545227,24034
31,0.4696521162986755,25033
32,0.4806063771247864,26032
33,0.4428257048130035,26248
34,0.5427624583244324,26535
35,0.4888671934604645,27534
36,0.4842892587184906,28016
37,0.5366360545158386,28860
38,0.5092726945877075,29389
39,0.4944548606872558,30388
40,0.5934702754020691,31387
41,0.4937878549098968,32122
42,0.4792003631591797,33121
43,0.5173640847206116,34120
44,0.5581144094467163,34759
45,0.5831907987594604,35735
46,0.3267834782600403,36234
47,0.5591968894004822,36558
48,0.5186399221420288,36761
49,0.4076898694038391,37760
50,0.534505307674408,37879
51,0.5940085053443909,38878
52,0.2911606132984161,39397
53,0.7641375660896301,39714
54,0.6582832932472229,40713
55,0.7968336939811707,41712
56,0.5401437282562256,42711
57,1.2146159410476685,43070
58,0.5145529508590698,44069
59,0.6646767854690552,45068
60,0.616302490234375,45623
61,0.4893389642238617,46133
62,0.2728236317634582,47132
63,0.6306513547897339,48131
64,0.5385555624961853,48499
65,0.5592381954193115,49227
66,0.5808871388435364,50226
67,0.4445839822292328,51225
68,0.4893057942390442,52224
69,0.5547560453414917,53223
70,0.166945070028305,54222
71,0.7830682992935181,55221
72,0.5209535360336304,56220
73,0.6413061022758484,56708
74,0.3144301772117615,57460
75,0.42405766248703,58431
76,0.3919532299041748,59430
77,0.1840258836746215,60429
78,0.3778542578220367,61319
79,0.240126371383667,62318
80,0.5484374761581421,62474
81,0.7032750248908997,63364
82,0.4448029398918152,63511
83,0.501579761505127,63781
84,0.2793856263160705,64780
85,0.4679464399814605,65779
86,0.0506051890552043,66283
87,0.7034612894058228,66368
88,0.354329377412796,67367
89,0.1883696317672729,68366
90,0.3468717038631439,68804
91,0.3053556084632873,69733
92,0.7265308499336243,70732
93,0.4057162404060364,71731
94,0.6260362863540649,72730
95,0.3164049386978149,73729
96,0.3261204361915588,74273
97,0.5039156675338745,75272
98,0.7646671533584595,76271
99,0.3806697130203247,77270
100,0.4349103569984436,78269
101,0.8042746782302856,78856
102,0.3824292123317718,79855
103,0.2760985493659973,80854
104,0.2891535460948944,81853
105,0.0887511819601059,82852
106,0.3809440732002258,83738
107,0.1933023780584335,84737
108,0.2981305718421936,85736
109,0.2975080907344818,86735
110,0.2461446076631546,87663
111,0.1739977896213531,88404
112,0.4439655840396881,89403
113,-0.0869340673089027,90402
114,0.1293293535709381,91401
115,0.0444648414850235,91588
116,0.044790681451559,92099
117,0.0311833880841732,93098
118,-0.0033155591227114,93565
119,0.0638850852847099,94564
120,0.1735818982124328,94910
121,0.2651227712631225,95909
122,0.0713489651679992,96908
123,-0.0219097174704074,97796
124,-0.0440492816269397,98778
125,0.5219367742538452,99777
126,-0.1598825007677078,100127
127,-0.0230246484279632,101126
128,0.2082856893539428,102125
129,0.2025216519832611,103124
