episode,absolute error,step
82,8773.191738487405,63511
83,11253.155347694486,63781
84,5862.351805378616,64780
85,6683.656218502309,65779
86,11827.690352557023,66283
87,7417.913499318283,66368
88,7325.456829639026,67367
89,7312.865761913863,68366
90,11286.076222937303,68804
91,14862.763153699005,69733
92,8948.550371232355,70732
93,8054.682031695683,71731
94,5635.005340547512,72730
95,6545.458069078595,73729
96,12638.07410719939,74273
97,4703.81585519145,75272
98,7467.905896256237,76271
99,10868.85149799136,77270
100,8031.77709936676,78269
101,14427.815198504595,78856
102,4777.752100761588,79855
103,7103.0949852848735,80854
104,7873.93745380684,81853
105,6981.696915473733,82852
106,18031.83990570338,83738
107,5723.098368022782,84737
108,9100.628809749203,85736
109,7636.437335660104,86735
110,19798.586353534083,87663
111,19962.78460882738,88404
112,8318.044270090253,89403
113,7359.415639975897,90402
114,7168.393227190169,91401
115,15305.28466749625,91588
116,17667.538786943827,92099
117,8482.580663981229,93098
118,17796.548826129543,93565
119,6145.9885360249455,94564
120,17194.86488622537,94910
121,24898.17093040784,95909
122,7888.259118371327,96908
123,22868.413328043665,97796
124,23510.328747095893,98778
125,13235.862890931334,99777
126,46017.0615569052,100127
127,8581.428973571436,101126
128,7802.608311520983,102125
129,7506.351687055544,103124
130,29869.83689717992,103843
131,7305.088297881386,104842
132,31517.599609099485,105785
133,22630.595764948142,106284
134,4143.822152407863,107283
135,7498.303015072167,108282
136,23136.484557290096,108662
137,6404.942279579147,109661
138,27647.1982095653,110562
139,7212.733353260111,111561
140,6733.001185995614,112560
141,7151.21500024151,113559
142,25722.364660333995,113969
143,6472.889854083983,114968
144,4910.57225437353,115967
145,30986.552737780832,116808
146,28991.742207611744,117030
147,8586.241379010897,118029
148,28217.813674373145,118317
149,32385.08162708507,119294
150,29527.133485205555,119878
151,6378.66369228476,120877
152,16886.46435305713,121876
153,37767.93896205695,122597
154,33973.48817028462,123570
155,6168.978563715698,124569
156,32085.43845648438,124968
157,36299.14998188568,125615
158,32063.23812452445,125834
159,34496.1700581919,126343
160,7005.126839320259,127342
161,7482.283446373473,128341
162,7035.52417988918,129340
163,40210.99457990719,130263
164,7452.663629530544,131262
165,4563.135636490734,132261
166,9955.264283516604,133260
167,7024.866295743467,134259
168,8400.977758501958,135258
169,6895.360270221554,136257
170,6998.953533540283,137256
171,15006.047850060197,138255
172,7992.131669770025,139254
173,6883.866267514534,140253
174,6789.682848050865,141252
175,7166.261552586999,142251
176,41547.16237321274,142916
177,7088.290968573327,143915
178,12929.81452736261,144914
179,9854.019643483978,145913
180,11411.04242619319,146912
181,64968.40537303656,147574
182,6424.292802838807,148573
183,42531.53676908193,149572
184,7172.555235316695,150571
185,6762.404204167079,151570
186,55688.40977542728,151838
187,7004.1009296919065,152837
188,11725.787535190482,153836
189,100239.2831473567,154835
190,6092.526418108569,155834
191,7449.813228777803,156833
192,9314.812470844474,157832
193,60238.18573777239,158446
194,10822.56159915368,159445
195,54533.271154542,159581
196,52462.56348908512,159700
197,55043.398988383386,160613
198,8976.23239066731,161612
199,59964.88306796749,161985
200,58353.47282599402,162436
201,28027.39617870071,163435
202,27867.980141539687,164434
203,11084.728070043318,165433
204,12255.64749757268,166432
205,68403.35309857933,167389
206,66634.26329674103,167693
207,140421.1827565821,168372
208,87133.90372394671,168969
209,9328.192424903302,169968
210,19543.07714673876,170967
211,46060.37092187465,171966
212,44590.78409138357,172965
213,18983.20997491714,173964
214,47237.497273108966,174963
215,92404.46780654622,175962
216,23099.38369911248,176961
217,106734.58550115014,177673
218,10986.451127492404,178672
219,55980.43070215976,179409
220,52915.252778566384,179801
221,11526.742022500017,180800
222,17235.036209045185,181799
223,118065.84577256822,182643
224,11535.37852681618,183642
225,60492.5304208228,184065
226,10826.383968503324,185064
227,132786.2325273928,185815
228,29482.20375761829,186814
229,24433.24943786577,187813
230,28772.049181119743,188812
231,102822.7405842796,189811
232,86108.02849196573,190810
233,96434.54277075177,191210
234,19555.39131313061,192209
235,29999.316008803657,193208
236,83975.6123750782,194207
237,14018.134758938582,195206
238,57608.402663875975,196205
239,167499.24370089328,197108
240,75472.59604902273,197523
241,65128.33349137475,197661
242,14664.116372764942,198660
243,158550.2503622958,199448
244,234346.5782415457,200250
245,17857.320846461425,201249
246,44215.03684316072,202248
247,75321.73442912349,202411
248,134935.74716351475,203410
249,37381.62328611556,204409
250,24006.29367585948,205408
251,145782.83066246507,206226
252,45652.94558185566,206632
253,13879.178566015527,207631
254,58012.28023283153,208630
255,12536.356537398227,209629
256,91039.3399202031,210267
257,25364.91268702985,211266
258,42178.415255657856,212265
259,244338.811798819,213264
260,280218.89362382767,213737
261,154990.37377552348,214352
262,193740.4890239013,214659
